"Time","WorkingSetMiB","PeakWorkingSetMiB","Heap","Stage"
"2026-09-13T14:53:04.2590441-04:00","16165","16313","13572: ZHeap            used 3720M, capacity 14720M, max capacity 20576M  Cache           11000M (9)   size classes   8M (1), 256M (2), 512M (3), 1G (1), 2G (2)","[14:53:04] [Lost Content splashes thread/INFO] [STDERR]: [com.legacy.lostaether.LostSplashes$GetSplashesThread:run:80]: 	at com.legacy.lostaether.LostSplashes$GetSplashesThread.run(LostSplashes.java:66)"
"2026-09-13T14:53:19.5039350-04:00","16257","16316","13572: ZHeap            used 7686M, capacity 14720M, max capacity 20576M  Cache           7034M (4)   size classes   256M (1), 512M (1), 1G (1), 2G (1)","[14:53:19] [Client thread/INFO] [aoa3]: Beginning block registration"
"2026-09-13T14:53:34.6946044-04:00","17659","17870","13572: ZHeap            used 4918M, capacity 16038M, max capacity 20576M  Cache           11120M (14)   size classes   8M (2), 64M (1), 128M (3), 256M (1), 512M (5), 2G (2)","[14:53:30] [Client thread/INFO] [IFPatcher]: PatchConveyorInsertionUpgrade succeeded"
"2026-09-13T14:53:50.0043505-04:00","20668","20779","13572: ZHeap            used 9712M, capacity 18862M, max capacity 20576M  Cache           9150M (21)   size classes   2M (2), 4M (1), 16M (1), 32M (4), 128M (1), 256M (5), 512M (4), 1G (3)","[14:53:49] [ForkJoinPool-2-worker-1/INFO] [VintageFix]: Found 135106 sprites (some possibly duplicated among resource packs)"
"2026-09-13T14:54:05.2230747-04:00","20523","20874","13572: ZHeap            used 3178M, capacity 18862M, max capacity 20576M  Cache           15684M (39)   size classes   2M (5), 4M (12), 8M (3), 16M (1), 32M (4), 128M (2), 256M (3), 512M (3), 1G (4), 2G (1), 4G (1)","[14:53:57] [Client thread/INFO] [STDERR]: [java.lang.Throwable:printStackTrace:677]: 	... 20 more"
"2026-09-13T14:54:20.5934998-04:00","20878","20878","13572: ZHeap            used 7356M, capacity 18862M, max capacity 20576M  Cache           11506M (13)   size classes   2M (1), 4M (4), 16M (1), 256M (1), 512M (1), 1G (2), 2G (3)","[14:53:57] [Client thread/INFO] [STDERR]: [java.lang.Throwable:printStackTrace:677]: 	... 20 more"
"2026-09-13T14:54:35.8152001-04:00","21309","21436","13572: ZHeap            used 10642M, capacity 18862M, max capacity 20576M  Cache           8220M (29)   size classes   2M (2), 4M (7), 8M (9), 64M (4), 128M (2), 512M (3), 1G (1), 2G (1)","[14:54:34] [Client thread/ERROR] [VintageFix]: Suppressing further model loading errors for namespace 'hbm'"
"2026-09-13T14:54:51.0301763-04:00","21403","21518","13572: ZHeap            used 10434M, capacity 18862M, max capacity 20576M  Cache           8428M (26)   size classes   2M (2), 4M (4), 8M (8), 16M (3), 128M (3), 512M (3), 1G (2), 2G (1)","	at java.base/java.util.concurrent.ForkJoinWorkerThread.run(ForkJoinWorkerThread.java:187)"
"2026-09-13T14:55:06.2603468-04:00","21503","21707","13572: ZHeap            used 13638M, capacity 18862M, max capacity 20576M  Cache           5224M (46)   size classes   2M (8), 4M (10), 8M (4), 16M (6), 32M (1), 64M (5), 128M (6), 256M (5), 1G (1)","[14:55:06] [Client thread/WARN] [Ice And Fire: RotN Edition]: Could not load /assets/iceandfire/models/tabula/firedragon/firedragon_Swimming.tbl: in is null"
"2026-09-13T14:55:21.5482089-04:00","21601","21722","13572: ZHeap            used 10312M, capacity 18862M, max capacity 20576M  Cache           8550M (54)   size classes   2M (3), 4M (14), 8M (10), 16M (4), 32M (6), 64M (4), 128M (4), 256M (5), 512M (3), 2G (1)","[14:55:21] [Client thread/INFO] [VintageFix]: 0/1 models had errors loading"
"2026-09-13T14:55:36.7515065-04:00","21428","21722","13572: ZHeap            used 5970M, capacity 18862M, max capacity 20576M  Cache           12892M (68)   size classes   2M (7), 4M (11), 8M (19), 16M (3), 32M (6), 64M (8), 128M (2), 256M (6), 512M (3), 1G (2), 2G (1)","[14:55:27] [Client thread/INFO] [STDERR]: [java.lang.Throwable:printStackTrace:677]: 	... 50 more"
"2026-09-13T14:55:51.9461033-04:00","21560","21722","13572: ZHeap            used 14532M, capacity 18862M, max capacity 20576M  Cache           4330M (27)   size classes   2M (10), 4M (13), 8M (1), 256M (2), 2G (1)","[14:55:51] [Client thread/WARN] [hbm]: No animation metadata found for hbm:items/scraps-zirconium"
