2700:
 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:       8155648     1237053840  [B (java.base@25.0.4)
   2:       1238048      842466472  [I (java.base@25.0.4)
   3:       2084818      378180920  [Ljava.lang.Object; (java.base@25.0.4)
   4:       7928998      190295952  java.lang.String (java.base@25.0.4)
   5:       3127333      125093320  java.util.HashMap$Node (java.base@25.0.4)
   6:        528436      100213792  [Ljava.util.HashMap$Node; (java.base@25.0.4)
   7:       1184695       75820480  net.minecraft.client.renderer.block.model.BakedQuad
   8:       2515328       60367872  net.minecraft.client.model.PositionTextureVertex
   9:        597636       57373056  net.minecraft.item.ItemStack
  10:        640757       46134504  com.google.gson.internal.LinkedTreeMap$Node
  11:        817955       45805480  java.util.HashMap (java.base@25.0.4)
  12:        415312       39869952  github.kasuminova.stellarcore.common.util.NBTTagBackingMap
  13:        550228       28926272  [Lnet.minecraft.client.model.PositionTextureVertex;
  14:        687757       27510280  java.util.concurrent.ConcurrentHashMap$Node (java.base@25.0.4)
  15:        950707       22816968  com.google.common.collect.ImmutableMapEntry
  16:        353120       22599680  net.minecraft.block.state.BlockStateContainer$StateImplementation
  17:        109389       21261864  java.lang.Class (java.base@25.0.4)
  18:        639738       20471616  org.objectweb.asm.Type
  19:        631646       20212672  net.minecraft.util.math.Vec3d
  20:        806572       19357728  java.util.ArrayList (java.base@25.0.4)
  21:        382132       18342336  org.embeddedt.vintagefix.fastmap.immutable.FastMapEntryImmutableMap
  22:        319692       17902752  net.minecraftforge.fml.common.discovery.ASMDataTable$ASMData
  23:        242288       17444736  javax.vecmath.Matrix4f
  24:        263254       16848256  com.google.common.collect.HashBiMap$Node
  25:        669091       16058184  net.minecraft.util.ResourceLocation
  26:        283321       15865976  java.util.LinkedHashMap$Entry (java.base@25.0.4)
  27:        350878       15701592  [Ljava.lang.String; (java.base@25.0.4)
  28:        241555       15459520  net.minecraftforge.common.model.TRSRTransformation
  29:         68788       14538136  [Lcom.google.common.collect.ImmutableMapEntry;
  30:        443891       14204512  com.google.common.collect.ImmutableMapEntry$NonTerminalImmutableMapEntry
  31:         98621       14201424  java.lang.reflect.Method (java.base@25.0.4)
  32:        173592       13887360  com.google.gson.internal.LinkedTreeMap
  33:        415312       13289984  net.minecraft.nbt.NBTTagCompound
  34:        412438       13198016  net.minecraft.client.renderer.block.model.ModelResourceLocation
  35:        222524       12461344  net.minecraftforge.fml.common.discovery.asm.ModAnnotation
  36:         59256       11894840  [Ljava.util.Map$Entry; (java.base@25.0.4)
  37:          1393       11817072  [Ljava.util.concurrent.ConcurrentHashMap$Node; (java.base@25.0.4)
  38:        182768       11697152  java.util.WeakHashMap$Entry (java.base@25.0.4)
  39:        143341       11467280  java.util.LinkedHashMap (java.base@25.0.4)
  40:        471624       11318976  net.minecraft.client.model.TexturedQuad
  41:        331021       10592672  java.util.LinkedList$Node (java.base@25.0.4)
  42:        108083       10375968  net.minecraft.client.renderer.texture.TextureAtlasSprite
  43:         78604       10061312  com.michaelsebero.efficiententities.util.CubeGeometry
  44:        204716        9826368  net.minecraftforge.fml.common.discovery.asm.ASMModParser
  45:         31549        8701536  [Lcom.hbm.world.gen.nbt.NBTStructure$BlockState;
  46:        206156        8246240  net.minecraftforge.client.model.obj.OBJModel$Vertex
  47:         93581        8235128  it.unimi.dsi.fastutil.objects.Object2ObjectOpenHashMap
  48:        480757        7692112  java.lang.Integer (java.base@25.0.4)
  49:         73959        7691736  java.net.URL (java.base@25.0.4)
  50:         76400        7334400  java.util.concurrent.ConcurrentHashMap (java.base@25.0.4)
  51:         39340        7238560  net.ilexiconn.llibrary.client.model.tools.AdvancedModelRenderer
  52:        219733        7031456  codechicken.lib.vec.Vector3
  53:        212841        6810912  java.util.LinkedList (java.base@25.0.4)
  54:        165728        6630688  [Lcom.hbm.render.loader.Vertex;
  55:        101623        6503872  java.util.EnumMap (java.base@25.0.4)
  56:         78325        6266000  org.objectweb.asm.Label
  57:           598        5518176  [Lcom.google.common.collect.HashBiMap$Node;
  58:        342958        5487328  java.util.HashSet (java.base@25.0.4)
  59:         47610        5332320  java.lang.reflect.Field (java.base@25.0.4)
  60:         82864        5303296  com.hbm.render.loader.Face
  61:        219032        5256768  kotlin.Pair
  62:        214269        5142456  javax.vecmath.Vector4f
  63:         91750        5138000  org.objectweb.asm.tree.VarInsnNode
