"Time","WorkingSetMiB","PeakWorkingSetMiB","PrivateMiB","FreeSystemMiB","Heap","Stage"
"2026-09-13T14:24:28.4089082-04:00","18810","18883","1768","29548","36764: ZHeap            used 12140M, capacity 17288M, max capacity 20576M  Cache           5148M (1)   size classes   4G (1)","[14:24:28] [Client thread/INFO] [cyclicmagic]: Registered ore dict entry workbench : Block{cyclicmagic:block_workbench}"
"2026-09-13T14:24:38.7364120-04:00","20205","20334","1996","28107","36764: ZHeap            used 5954M, capacity 18482M, max capacity 20576M  Cache           12528M (39)   size classes   2M (1), 4M (10), 8M (2), 16M (2), 32M (7), 64M (2), 128M (2), 256M (4), 512M (6), 1G (1), 2G (2)","[14:24:38] [Client thread/INFO] [MoreSoundConfigCore]: Patch of class paulscode.sound.libraries.LibraryLWJGLOpenAL ended"
"2026-09-13T14:24:49.1808760-04:00","20307","20376","2074","27908","36764: ZHeap            used 7030M, capacity 18482M, max capacity 20576M  Cache           11452M (70)   size classes   2M (6), 4M (15), 8M (15), 16M (7), 32M (4), 64M (5), 128M (4), 256M (7), 512M (6), 2G (1)","[14:24:42] [Client thread/INFO] [VintageFix]: 0/1 models had errors loading"
"2026-09-13T14:24:59.4847568-04:00","20289","20376","2054","27729","36764: ZHeap            used 11750M, capacity 18482M, max capacity 20576M  Cache           6732M (34)   size classes   2M (2), 4M (6), 8M (11), 16M (3), 32M (1), 64M (4), 128M (2), 256M (1), 512M (2), 1G (1), 2G (1)","[14:24:51] [Client thread/WARN] [stellar_core]: [StellarCore-ParallelModelLoader] A mod trying to load model `avaritia:block/cube_top_front` without concurrent state, it may cause some performance issues."
"2026-09-13T14:25:09.8460739-04:00","20681","20681","2492","27343","36764: ZHeap            used 17704M, capacity 18482M, max capacity 20576M  Cache           778M (23)   size classes   2M (10), 4M (12), 512M (1)","[14:25:09] [Client thread/WARN] [hbm]: No animation metadata found for hbm:items/plate_cast-arsenicbronze"
"2026-09-13T14:25:20.1991237-04:00","21050","21067","3314","27015","36764: ZHeap            used 9306M, capacity 18482M, max capacity 20576M  Cache           9176M (66)   size classes   2M (9), 4M (17), 8M (12), 16M (4), 32M (1), 64M (3), 128M (9), 256M (6), 512M (3), 1G (2)","[14:25:20] [Client thread/WARN] [stellar_core]: [StellarCore-ParallelModelLoader] A mod trying to load model `ancientspellcraft:block/nether_fire_up_alt1` without concurrent state, it may cause some performance issues."
"2026-09-13T14:25:30.5065591-04:00","20914","21067","3202","27124","36764: ZHeap            used 7386M, capacity 18482M, max capacity 20576M  Cache           11096M (85)   size classes   2M (12), 4M (21), 8M (14), 16M (6), 32M (7), 64M (4), 128M (6), 256M (7), 512M (6), 1G (2)","[14:25:29] [Client thread/WARN] [VintageFix]:     FMLMod:tconstruct{1.12.2-2.13.0.209}: 54.45 ms"
"2026-09-13T14:25:40.8212330-04:00","20972","21086","3260","27120","36764: ZHeap            used 15396M, capacity 18482M, max capacity 20576M  Cache           3086M (42)   size classes   2M (5), 4M (12), 8M (12), 16M (3), 64M (2), 128M (4), 256M (2), 512M (2)","[14:25:40] [VintageFix item baking thread/WARN] [stellar_core]: [StellarCore-ParallelModelLoader] A mod trying to load model `lostinfinity:block/astrorock_lamp_yellow` without concurrent state, it may cause some performance issues."
"2026-09-13T14:25:51.2205051-04:00","21170","21309","3445","26646","36764: ZHeap            used 11774M, capacity 18482M, max capacity 20576M  Cache           6708M (64)   size classes   2M (20), 4M (19), 8M (4), 16M (2), 32M (3), 64M (1), 128M (5), 256M (5), 512M (4), 1G (1)","[14:25:51] [VintageFix item baking thread/WARN] [stellar_core]: [StellarCore-ParallelModelLoader] A mod trying to load model `aoa3:block/functional/utility/tea_sink` without concurrent state, it may cause some performance issues."
"2026-09-13T14:26:01.5501943-04:00","21305","21348","3564","26718","36764: ZHeap            used 10218M, capacity 18482M, max capacity 20576M  Cache           8264M (80)   size classes   2M (20), 4M (18), 8M (21), 16M (4), 32M (1), 128M (2), 256M (8), 512M (4), 1G (2)","[14:26:01] [Client thread/INFO] [STDERR]: [java.lang.Throwable:printStackTrace:677]: 	... 43 more"
"2026-09-13T14:26:11.8717509-04:00","21188","21403","3477","26839","36764: ZHeap            used 7694M, capacity 18482M, max capacity 20576M  Cache           10788M (223)   size classes   2M (74), 4M (59), 8M (34), 16M (15), 32M (11), 64M (6), 128M (11), 256M (8), 512M (4), 1G (1)","[14:26:11] [Client thread/INFO] [STDERR]: [java.lang.Throwable:printStackTrace:677]: 	... 50 more"
"2026-09-13T14:26:22.2256926-04:00","21161","21403","3450","26745","36764: ZHeap            used 12344M, capacity 18482M, max capacity 20576M  Cache           6138M (59)   size classes   2M (10), 4M (11), 8M (13), 16M (4), 32M (4), 64M (3), 128M (5), 256M (5), 512M (3), 1G (1)","[14:26:13] [Client thread/WARN] [stellar_core]: [StellarCore-ParallelModelLoader] A mod trying to load model `avaritia:block/cube_top_front` without concurrent state, it may cause some performance issues."
"2026-09-13T14:26:32.5484774-04:00","22335","22379","3548","25555","36764: ZHeap            used 10380M, capacity 19584M, max capacity 20576M  Cache           9204M (106)   size classes   2M (22), 4M (23), 8M (15), 16M (7), 32M (6), 64M (9), 128M (11), 256M (10), 512M (3)","[14:26:32] [Client thread/WARN] [hbm]: No animation metadata found for hbm:items/scraps-diamond"
"2026-09-13T14:26:42.8422082-04:00","22482","22513","3696","25552","36764: ZHeap            used 10270M, capacity 19584M, max capacity 20576M  Cache           9314M (97)   size classes   2M (12), 4M (21), 8M (16), 16M (13), 32M (9), 64M (6), 128M (11), 256M (6), 512M (2), 2G (1)","[14:26:42] [Client thread/ERROR] [org.embeddedt.vintagefix.dynamicresources.model.DynamicBakedModelProvider]: Error occured while loading model mysticalworld:silver_ingot#handlers"
"2026-09-13T14:26:53.1702175-04:00","22586","22586","3943","25430","36764: ZHeap            used 12786M, capacity 19584M, max capacity 20576M  Cache           6798M (80)   size classes   2M (13), 4M (20), 8M (9), 16M (6), 32M (5), 64M (10), 128M (8), 256M (7), 512M (2)","[14:26:53] [VintageFix item baking thread/WARN] [stellar_core]: [StellarCore-ParallelModelLoader] A mod trying to load model `minecraft:block/end_bricks` without concurrent state, it may cause some performance issues."
"2026-09-13T14:27:03.4930319-04:00","22777","22899","4015","25161","36764: ZHeap            used 14576M, capacity 19584M, max capacity 20576M  Cache           5008M (66)   size classes   2M (11), 4M (15), 8M (11), 16M (5), 32M (4), 64M (8), 128M (5), 256M (6), 512M (1)","[14:27:03] [VintageFix item baking thread/WARN] [stellar_core]: [StellarCore-ParallelModelLoader] A mod trying to load model `rpsideas:block/case_closed_purple` without concurrent state, it may cause some performance issues."
"2026-09-13T14:27:13.8044294-04:00","22739","22899","3975","25258","36764: ZHeap            used 10380M, capacity 19584M, max capacity 20576M  Cache           9204M (148)   size classes   2M (45), 4M (41), 8M (19), 16M (6), 32M (8), 64M (12), 128M (9), 256M (5), 512M (2), 2G (1)","[14:27:08] [VintageFix item baking thread/INFO] [VintageFix]: Item baking finished in 23.67 s"
"2026-09-13T14:27:24.0882853-04:00","22670","22899","3908","25408","36764: ZHeap            used 12086M, capacity 19584M, max capacity 20576M  Cache           7498M (86)   size classes   2M (16), 4M (19), 8M (12), 16M (5), 32M (7), 64M (12), 128M (7), 256M (5), 512M (2), 1G (1)","[14:27:08] [VintageFix item baking thread/INFO] [VintageFix]: Item baking finished in 23.67 s"
"2026-09-13T14:27:34.4059382-04:00","22673","22899","3904","25326","36764: ZHeap            used 12400M, capacity 19584M, max capacity 20576M  Cache           7184M (88)   size classes   2M (16), 4M (18), 8M (12), 16M (6), 32M (8), 64M (12), 128M (6), 256M (7), 512M (3)","[14:27:30] [Client thread/INFO] [thaumcraftfixcore]: Successfully transformed class thaumcraft.common.lib.crafting.ThaumcraftCraftingManager"
"2026-09-13T14:27:44.7030713-04:00","22673","22899","3904","25332","36764: ZHeap            used 15136M, capacity 19584M, max capacity 20576M  Cache           4448M (63)   size classes   2M (11), 4M (16), 8M (10), 16M (4), 32M (4), 64M (8), 128M (5), 256M (3), 512M (2)","[14:27:30] [Client thread/INFO] [thaumcraftfixcore]: Successfully transformed class thaumcraft.common.lib.crafting.ThaumcraftCraftingManager"
"2026-09-13T14:27:54.9905310-04:00","22679","22899","3910","25376","36764: ZHeap            used 10316M, capacity 19584M, max capacity 20576M  Cache           9268M (97)   size classes   2M (17), 4M (22), 8M (12), 16M (7), 32M (8), 64M (14), 128M (7), 256M (6), 512M (3), 2G (1)","[14:27:30] [Client thread/INFO] [thaumcraftfixcore]: Successfully transformed class thaumcraft.common.lib.crafting.ThaumcraftCraftingManager"
"2026-09-13T14:28:05.2762649-04:00","22660","22899","3887","25341","36764: ZHeap            used 9978M, capacity 19584M, max capacity 20576M  Cache           9606M (98)   size classes   2M (17), 4M (23), 8M (12), 16M (6), 32M (8), 64M (14), 128M (8), 256M (6), 512M (3), 2G (1)","[14:27:30] [Client thread/INFO] [thaumcraftfixcore]: Successfully transformed class thaumcraft.common.lib.crafting.ThaumcraftCraftingManager"
"2026-09-13T14:28:15.6218459-04:00","22725","22899","3908","25177","36764: ZHeap            used 8858M, capacity 19584M, max capacity 20576M  Cache           10726M (290)   size classes   2M (131), 4M (74), 8M (38), 16M (7), 32M (8), 64M (14), 128M (7), 256M (6), 512M (4), 2G (1)","[14:27:30] [Client thread/INFO] [thaumcraftfixcore]: Successfully transformed class thaumcraft.common.lib.crafting.ThaumcraftCraftingManager"
"2026-09-13T14:28:25.9059123-04:00","22714","22899","3904","25360","36764: ZHeap            used 18758M, capacity 19584M, max capacity 20576M  Cache           826M (4)   size classes   8M (1), 16M (1), 64M (1), 512M (1)","[14:27:30] [Client thread/INFO] [thaumcraftfixcore]: Successfully transformed class thaumcraft.common.lib.crafting.ThaumcraftCraftingManager"
"2026-09-13T14:28:36.1867574-04:00","22694","22899","3876","25292","36764: ZHeap            used 17526M, capacity 19584M, max capacity 20576M  Cache           2058M (43)   size classes   2M (9), 4M (13), 8M (8), 16M (2), 32M (4), 64M (3), 128M (2), 256M (1), 512M (1)","[14:27:30] [Client thread/INFO] [thaumcraftfixcore]: Successfully transformed class thaumcraft.common.lib.crafting.ThaumcraftCraftingManager"
"2026-09-13T14:28:46.4653364-04:00","22729","22899","3909","25205","36764: ZHeap            used 13364M, capacity 19584M, max capacity 20576M  Cache           6220M (87)   size classes   2M (17), 4M (18), 8M (12), 16M (5), 32M (7), 64M (14), 128M (6), 256M (6), 512M (2)","[14:28:41] [Client thread/INFO] [tconstruct-TinkerSmeltery]: Mod list changed, rescanning recipes"
