"Time","Name","Cause","BeforeGiB","AfterGiB","ReclaimedGiB"
"2026-09-22T03:36:01.069530600-04:00","ZGC Minor","Allocation Rate","8.213","2.365","5.848"
"2026-09-22T03:36:02.504872900-04:00","ZGC Major","Metadata GC Threshold","2.365","4.115","-1.75"
"2026-09-22T03:36:16.774243300-04:00","ZGC Minor","Allocation Rate","8.594","1.861","6.732"
"2026-09-22T03:36:37.922628500-04:00","ZGC Minor","Allocation Rate","8.699","2.189","6.51"
"2026-09-22T03:36:55.461595100-04:00","ZGC Major","Heap Inspection Initiated GC","4.309","2.152","2.156"
"2026-09-22T03:37:18.568494800-04:00","ZGC Minor","Allocation Rate","10.346","2.814","7.531"
"2026-09-22T03:37:29.352741900-04:00","ZGC Minor","Allocation Rate","7.736","3.357","4.379"
"2026-09-22T03:37:37.729008400-04:00","ZGC Minor","Allocation Rate","7.936","5.338","2.598"
"2026-09-22T03:37:41.888928700-04:00","ZGC Minor","Allocation Rate","7.125","3.66","3.465"
"2026-09-22T03:38:01.112607200-04:00","ZGC Minor","Allocation Rate","7.117","2.787","4.33"
"2026-09-22T03:38:06.804358300-04:00","ZGC Minor","Allocation Rate","3.613","2.857","0.756"
"2026-09-22T03:38:09.707352800-04:00","ZGC Minor","Allocation Rate","3.529","2.914","0.615"
"2026-09-22T03:38:09.519094500-04:00","ZGC Major","CodeCache GC Threshold","3.184","7.221","-4.037"
"2026-09-22T03:38:15.593191600-04:00","ZGC Minor","Allocation Rate","9.611","5.951","3.66"
"2026-09-22T03:38:16.565435200-04:00","ZGC Minor","Allocation Rate","5.951","3.352","2.6"
"2026-09-22T03:38:16.934184100-04:00","ZGC Minor","Allocation Rate","3.383","3.178","0.205"
"2026-09-22T03:38:21.614069400-04:00","ZGC Minor","Allocation Rate","3.98","3.33","0.65"
"2026-09-22T03:38:19.232869900-04:00","ZGC Major","Allocation Rate","4.104","4.555","-0.451"
"9/22/2026 3:38:32 AM","ZGC Minor","Allocation Rate","7.953","3.695","4.258"
"2026-09-22T03:38:42.594295100-04:00","ZGC Minor","Allocation Rate","10.213","4.418","5.795"
"2026-09-22T03:38:48.262942700-04:00","ZGC Minor","Allocation Rate","8.148","4.941","3.207"
"2026-09-22T03:38:52.811139700-04:00","ZGC Minor","Allocation Rate","7.508","4.547","2.961"
"2026-09-22T03:38:54.545184700-04:00","ZGC Minor","Allocation Rate","5.949","4.533","1.416"
"2026-09-22T03:38:50.020134200-04:00","ZGC Major","CodeCache GC Threshold","5.236","6.82","-1.584"
"2026-09-22T03:38:59.829848900-04:00","ZGC Minor","Allocation Rate","8.094","4.832","3.262"
"2026-09-22T03:39:07.583690500-04:00","ZGC Minor","Allocation Rate","8.764","4.959","3.805"
"2026-09-22T03:39:15.469990200-04:00","ZGC Minor","Allocation Rate","9.088","5.9","3.188"
"2026-09-22T03:39:20.062959700-04:00","ZGC Minor","Allocation Rate","8.568","6.434","2.135"
"2026-09-22T03:39:26.445899400-04:00","ZGC Minor","Allocation Rate","7.662","5.068","2.594"
"2026-09-22T03:39:28.893499300-04:00","ZGC Minor","Allocation Rate","7.076","5.066","2.01"
"2026-09-22T03:39:23.535695600-04:00","ZGC Major","Allocation Rate","7.961","6.686","1.275"
"2026-09-22T03:39:34.363796100-04:00","ZGC Minor","Allocation Rate","9.377","4.994","4.383"
"2026-09-22T03:39:40.433520600-04:00","ZGC Minor","Allocation Rate","9.383","5.006","4.377"
"2026-09-22T03:39:45.970736200-04:00","ZGC Minor","Allocation Rate","10.473","5.037","5.436"
"2026-09-22T03:39:52.354978400-04:00","ZGC Minor","Allocation Rate","10.787","5.002","5.785"
