42392:
 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:       5688910      972274280  [B (java.base@25.0.4)
   2:       5505142      132123408  java.lang.String (java.base@25.0.4)
   3:       2184694       87387760  java.util.HashMap$Node (java.base@25.0.4)
   4:        399818       72890784  [Ljava.util.HashMap$Node; (java.base@25.0.4)
   5:        275827       51359208  [Ljava.lang.Object; (java.base@25.0.4)
   6:        697029       50186088  com.google.gson.internal.LinkedTreeMap$Node
   7:        581106       32541936  java.util.HashMap (java.base@25.0.4)
   8:        652338       20874816  org.objectweb.asm.Type
   9:        323584       18120704  net.minecraftforge.fml.common.discovery.ASMDataTable$ASMData
  10:        721275       17310600  com.google.common.collect.ImmutableMapEntry
  11:        394239       15769560  java.util.concurrent.ConcurrentHashMap$Node (java.base@25.0.4)
  12:        188188       15055040  com.google.gson.internal.LinkedTreeMap
  13:         75093       14674056  java.lang.Class (java.base@25.0.4)
  14:        119868       13722200  [I (java.base@25.0.4)
  15:        226037       12658072  net.minecraftforge.fml.common.discovery.asm.ModAnnotation
  16:         83720       12055680  java.lang.reflect.Method (java.base@25.0.4)
  17:         41560       11034784  [Lcom.google.common.collect.ImmutableMapEntry;
  18:        338776       10840832  com.google.common.collect.ImmutableMapEntry$NonTerminalImmutableMapEntry
  19:        207271        9949008  net.minecraftforge.fml.common.discovery.asm.ASMModParser
  20:        123425        9874000  java.util.LinkedHashMap (java.base@25.0.4)
  21:        164088        9188928  java.util.LinkedHashMap$Entry (java.base@25.0.4)
  22:         40841        8882024  [Ljava.util.Map$Entry; (java.base@25.0.4)
  23:        129516        8289024  net.minecraft.block.state.BlockStateContainer$StateImplementation
  24:           974        7532608  [Ljava.util.concurrent.ConcurrentHashMap$Node; (java.base@25.0.4)
  25:        231065        7394080  java.util.LinkedList$Node (java.base@25.0.4)
  26:        145208        6969984  org.embeddedt.vintagefix.fastmap.immutable.FastMapEntryImmutableMap
  27:        211308        6761856  java.util.LinkedList (java.base@25.0.4)
  28:        252771        6066504  java.util.ArrayList (java.base@25.0.4)
  29:         52042        5412368  java.net.URL (java.base@25.0.4)
  30:         66093        5287440  org.objectweb.asm.Label
  31:         51859        4978464  java.util.concurrent.ConcurrentHashMap (java.base@25.0.4)
  32:         87274        4887344  org.objectweb.asm.tree.VarInsnNode
  33:         42012        4705344  java.lang.reflect.Field (java.base@25.0.4)
  34:        265342        4245472  java.util.HashSet (java.base@25.0.4)
  35:         70988        3975328  org.objectweb.asm.tree.LabelNode
  36:         47734        3818720  org.objectweb.asm.tree.MethodInsnNode
  37:        230645        3690320  java.util.HashMap$KeySet (java.base@25.0.4)
  38:         54728        3502592  org.objectweb.asm.tree.LineNumberNode
  39:         21262        3061728  net.minecraftforge.common.config.Property
  40:         49932        2796192  java.security.CodeSource (java.base@25.0.4)
  41:         80578        2783464  [Ljava.lang.String; (java.base@25.0.4)
  42:         41143        2633152  com.google.common.collect.RegularImmutableMap
  43:         39321        2516544  java.lang.invoke.MemberName (java.base@25.0.4)
  44:         49934        2396832  java.security.ProtectionDomain (java.base@25.0.4)
  45:         29462        2356960  org.spongepowered.asm.mixin.transformer.ClassInfo$Method
  46:         48011        2304528  org.objectweb.asm.tree.InsnNode
  47:         56999        2279960  java.util.Hashtable$Entry (java.base@25.0.4)
  48:         72378        2092560  [Ljava.lang.Class; (java.base@25.0.4)
  49:         31619        2023616  com.google.common.collect.HashBiMap$Node
  50:         26769        1927368  org.objectweb.asm.tree.FieldInsnNode
  51:         14464        1808576  [Ljava.lang.reflect.Method; (java.base@25.0.4)
  52:         73016        1752384  net.minecraft.util.ResourceLocation
  53:         16734        1740336  java.lang.Class$ReflectionData (java.base@25.0.4)
  54:         30080        1684480  org.objectweb.asm.tree.LocalVariableNode
  55:         26278        1681792  java.lang.invoke.BoundMethodHandle$Species_LL (java.base@25.0.4)
  56:           452        1598512  [D (java.base@25.0.4)
  57:         49923        1597536  java.security.Permissions (java.base@25.0.4)
  58:         66240        1589760  net.minecraft.client.model.PositionTextureVertex
  59:         25929        1452024  java.util.TreeMap$Entry (java.base@25.0.4)
  60:         14906        1430976  net.minecraft.item.ItemStack
  61:         29552        1418496  jdk.internal.util.WeakReferenceKey (java.base@25.0.4)
  62:         21448        1372672  org.objectweb.asm.Frame
  63:         16780        1342400  net.minecraftforge.common.property.ExtendedBlockState$ExtendedStateImplementation
  64:         41370        1323840  org.spongepowered.asm.mixin.transformer.ClassInfo$FrameData
  65:         17025        1225800  org.objectweb.asm.tree.FrameNode
