
 Version: 2.1
 Chunks: 2
 Start: 2026-09-22 07:35:56 (UTC)
 Duration: 85 s

 Event Type                              Count  Size (bytes) 
=============================================================
 jdk.ObjectAllocationSample              21020        325418
 jdk.ModuleExport                        20020        219996
 jdk.JavaExceptionThrow                  14982        910550
 jdk.NativeMethodSample                   4030         43341
 jdk.ExecutionSample                      3382         38616
 jdk.ThreadSleep                          2698         52437
 jdk.ThreadPark                           1677         47715
 jdk.ActiveSetting                        1128         30387
 jdk.BooleanFlag                          1002         30770
 jdk.SystemProcess                         580         32523
 jdk.NativeLibrary                         511         41174
 jdk.Deoptimization                        447         11020
 jdk.Checkpoint                            433      18015654
 jdk.ModuleRequire                         392          3920
 jdk.LongFlag                              284          9082
 jdk.ThreadAllocationStatistics            221          2352
 jdk.ExecuteVMOperation                    187          2773
 jdk.UnsignedLongFlag                      186          6310
 jdk.ThreadCPULoad                         156          2529
 jdk.JavaErrorThrow                        153         12059
 jdk.ThreadEnd                             117          1145
 jdk.ThreadStart                           115          1465
 jdk.InitialEnvironmentVariable            102          8595
 jdk.UnsignedIntFlag                       100          3328
 jdk.InitialSecurityProperty                92          4660
 jdk.IntFlag                                88          3126
 jdk.CPULoad                                78          1482
 jdk.ClassLoadingStatistics                 78           858
 jdk.CompilerStatistics                     78          2574
 jdk.ExceptionStatistics                    78           936
 jdk.JavaThreadStatistics                   78           873
 jdk.ResidentSetSize                        78          1326
 jdk.StringFlag                             74          2198
 jdk.SocketRead                             73          3312
 jdk.GCPhaseConcurrent                      49          1824
 jdk.Compilation                            39          1108
 jdk.SafepointBegin                         36           464
 jdk.DoubleFlag                             34          1392
 jdk.GCPhaseConcurrentLevel1                33          1263
 jdk.InitialSystemProperty                  32         42430
 jdk.CompilerQueueUtilization               30           644
 jdk.ZRelocationSetGroup                    27           632
 jdk.ClassLoaderStatistics                  25           663
 jdk.GCPhasePause                           25           752
 jdk.MetaspaceChunkFreeListSummary          24           432
 jdk.NetworkUtilization                     24           317
 jdk.MetaspaceGCThreshold                   21           378
 jdk.FinalizerStatistics                    20           312
 jdk.MetaspaceAllocationFailure             19           279
 jdk.ClassRedefinition                      18           213
 jdk.DirectBufferStatistics                 15           354
 jdk.ZUncommit                              14           224
 jdk.CodeCacheStatistics                    12           372
 jdk.GCHeapSummary                          12           540
 jdk.MetaspaceSummary                       12           672
 jdk.ZRelocationSet                          9           214
 jdk.GCHeapMemoryPoolUsage                   8           343
 jdk.GCReferenceStatistics                   8            86
 jdk.StringTableStatistics                   7           266
 jdk.SymbolTableStatistics                   7           266
 jdk.ThreadContextSwitchRate                 7            77
 jdk.ZYoungGarbageCollection                 7           104
 jdk.GarbageCollection                       6           114
 jdk.NativeLibraryLoad                       6           751
 jdk.JavaMonitorEnter                        5           119
 jdk.GCConfiguration                         4           100
 jdk.GCHeapMemoryUsage                       4            88
 jdk.GCPhaseConcurrentLevel2                 4           113
 jdk.JavaMonitorStatistics                   4            32
