"Time","WorkingSetMiB","PrivateMiB","HeapUsedMiB","HeapCapacityMiB","HeapMaxMiB","Handles","Threads"
"2026-09-22T03:36:23.2145173-04:00","10807","1494.2","3618","9504","12192","6656","114"
"2026-09-22T03:36:33.4637701-04:00","10826.9","1572.5","7970","9436","12192","6640","118"
"2026-09-22T03:36:43.6838252-04:00","10830.1","1577","2514","9436","12192","6629","113"
"2026-09-22T03:36:53.8848768-04:00","10850.9","1592.9","4092","9436","12192","6628","113"
"2026-09-22T03:37:04.0874052-04:00","10754.4","1589.7","3810","9340","12192","6606","121"
"2026-09-22T03:37:14.2816487-04:00","10686","1616.8","7134","9244","12192","6548","118"
"2026-09-22T03:37:24.4836209-04:00","12614.9","1693.1","4822","11136","12192","7477","113"
"2026-09-22T03:37:34.6892590-04:00","12846.6","1974.4","5304","11136","12192","7746","161"
"2026-09-22T03:37:45.0031970-04:00","12802.8","1892.2","5306","11136","12192","7724","156"
"2026-09-22T03:37:55.2112558-04:00","12806","1896.4","6254","11136","12192","7721","155"
"2026-09-22T03:38:05.3919904-04:00","12784.8","1872","3480","11136","12192","7720","153"
"2026-09-22T03:38:15.5951529-04:00","13149.3","2140.7","11120","11136","12192","7956","195"
"2026-09-22T03:38:25.9270221-04:00","14361.6","2519.9","4754","12192","12192","8396","191"
"2026-09-22T03:38:36.1155487-04:00","14481.4","2641.9","5920","12192","12192","8395","192"
"2026-09-22T03:38:46.3106289-04:00","14549","2711.4","6944","12192","12192","8388","190"
"2026-09-22T03:38:56.5272799-04:00","14679.5","2801.8","6594","12192","12192","8407","194"
"2026-09-22T03:39:06.7402362-04:00","14953","3103.3","8550","12192","12192","8396","189"
"2026-09-22T03:39:16.9237811-04:00","14948.5","3182.9","6274","12096","12192","8262","160"
"2026-09-22T03:39:27.1105397-04:00","14064.8","3065","5848","11328","12192","7866","156"
"2026-09-22T03:39:37.2899861-04:00","13596.3","3073.4","7324","10848","12192","7625","156"
"2026-09-22T03:39:47.4815781-04:00","13599.9","3068.8","6724","10848","12192","7531","124"
"2026-09-22T03:39:57.6695592-04:00","13847.6","3070.2","10464","11104","12192","7658","124"
"2026-09-22T03:40:07.8548454-04:00","14309.1","3040.4","7852","11592","12192","7902","124"
"2026-09-22T03:40:18.0491004-04:00","14343","3070.7","5398","11592","12192","7902","124"
"2026-09-22T03:40:28.2413298-04:00","14381.7","3119.3","9422","11592","12192","7926","132"
"2026-09-22T03:42:22.8360367-04:00","14495.4","3273.7","8346","11550","12192","8188","213"
"2026-09-22T03:42:33.0859293-04:00","14557.5","3668.1","8930","11238","12192","8065","221"
"2026-09-22T03:42:43.2925231-04:00","14470.4","3577","6886","11238","12192","8040","212"
"2026-09-22T03:42:53.4831623-04:00","14565.3","3660.3","7946","11238","12192","7843","147"
"2026-09-22T03:43:03.6989480-04:00","14621.9","3713.4","9604","11238","12192","7860","152"
"2026-09-22T03:43:13.8954540-04:00","14508.8","3559","10060","11312","12192","7949","158"
"2026-09-22T03:43:24.0947322-04:00","14412.6","3499.3","9690","11312","12192","7928","156"
"2026-09-22T03:43:34.2985901-04:00","14765.8","3652.9","8976","11492","12192","7990","153"
"2026-09-22T03:43:44.4880190-04:00","14905.8","3670.3","10854","11614","12192","8058","155"
"2026-09-22T03:43:54.6672176-04:00","14953.4","3713.4","9026","11614","12192","8064","156"
"2026-09-22T03:44:04.8764337-04:00","14886.8","3645.3","10974","11614","12192","8052","151"
"2026-09-22T03:44:15.0597658-04:00","14949.9","3701.2","9398","11616","12192","8069","156"
"2026-09-22T03:44:25.2448094-04:00","14915.9","3663.5","11452","11616","12192","8054","151"
"2026-09-22T03:44:35.4322515-04:00","14880.5","3626.6","9866","11616","12192","8045","148"
"2026-09-22T03:44:45.6136979-04:00","14871.3","3616.6","11584","11616","12192","8045","148"
"2026-09-22T03:44:55.8173553-04:00","14877.8","3624.4","10156","11616","12192","8049","149"
"2026-09-22T03:45:06.0083950-04:00","14901.2","3627.3","8466","11640","12192","8058","148"
"2026-09-22T03:45:16.2072953-04:00","14891.8","3616.6","10444","11640","12192","8056","147"
"2026-09-22T03:45:26.4010589-04:00","14925.4","3650.8","8424","11640","12192","8055","147"
